iter	Passed	Remaining
956	5816	261
957	5820	255
958	5824	249
959	5829	242
960	5833	236
961	5837	230
962	5842	224
963	5846	218
964	5851	212
965	5855	206
966	5860	199
967	5864	193
968	5869	187
969	5874	181
970	5878	175
971	5883	169
972	5888	163
973	5893	157
974	5900	151
975	5905	145
976	5911	139
977	5916	133
978	5922	127
979	5930	121
980	5935	114
981	5940	108
982	5946	102
983	5953	96
984	5958	90
985	5965	84
986	5972	78
987	5978	72
988	5984	66
989	5992	60
990	5997	54
991	6003	48
992	6009	42
993	6015	36
994	6021	30
995	6028	24
996	6033	18
997	6040	12
998	6046	6
999	6051	0
